tweet,prediction,label,class,index
The #ecoteam at SMAB have been busy today! They added soil and water to our compost bin to help speed up the composting process 🌍 #FridaysForFuture https://t.co/N6jzfwvzsy,1,3,unclear,10012
"Free them all!

#ClimateStrikeOnline week 129

#FreeThemAll #FreeAlaa #FreeOcalan #FreeMariamTirab

#DigitalStrike #FridaysForFuture #ClimateStrike #klimatstrejk #klimat #climate #ClimateCrisis #klimatkris #UprootTheSystem https://t.co/eFh8hCJvS6",1,3,wrong-label,10087
"""Natural Grocers is partnering with Beyond Pesticides to spread the word about protecting the insects that are vital to the stability of the food supply and the necessary transition to nontoxic pesticide use."" 
#FridaysForFuture #Sustainability #Grocery

https://t.co/nU75yLDzQ3",3,1,unclear,10108
"Climate strike in Bergen, Norway. #FridaysForFuture #ClimateJustice #GreenFriday @fff_bergen https://t.co/zp4Jp6PmbP",1,3,unclear,10160
"Do we believe in politicians more than we believe in ourselves? 🤦‍♀️

Are we easily herded by politicians into their #ClimateEmergency? 😬

Who has a reasonable plan?
#DontLookUp

Week 180

#ClimateEmergency 
#twiff, 1, #FridaysForFuture #Sweden,,Svedmyra, 2022-01-28 https://t.co/YiWmNBPwNj",2,3,wrong-label,10166
Week 48th my #ClimateStrike! #FridaysForFuture #NoWar https://t.co/d81pVsE61c,1,3,wrong-label,10181
"#ClimateStrike #ExtinctionRebellion #ClimateAction #ClimateCrisis #GlobalWarming #FridaysForFuture #ClimateChange #Greenwashing #Renewables    

Solar + batteries = 265g CO2 kWh
450g =soil rich with CO2 destroyed (installation) +Toxic waste dump from panels production. Thread:",2,3,wrong-label,10204
"It's happened at Varanasi! 
Yes you heard right, FFF Varanasi has joined Litter free India RACE campaign and did plog walk. 

#ClimateCrisis #fridaysforfuture #Environnement @fffUttarPradesh @GretaThunberg @fridays_india @parents4future @StrikeClimate @UNEP https://t.co/ibMsUovdKx",1,3,wrong-label,10221
"A press conference will be held by representatives of IMPACT, Fridays For Future Pakistan, and Youth Climate Activists Pakistan to put forward the climate demands.

Looking Forward To See You All!!
.
.
.
.
.
Tags: #climatechange #climatestrike #fffpk #fridaysforfuture https://t.co/x7QiVacyr6",1,3,wrong-label,10289
"CLIMATE STRIKE WEEK 1: I am striking against border walls and fences. How does this relate to climate change? They impede wildlife from migrating to a more suitable location when climate changes or warms, threatening their existence. #fridaysforfuture  https://t.co/VTOIB2Uump",1,2,wrong-label,10329
When do we understand the hybris of our species. 3 years to implement actions to stay under 2 degrees. Are we starting after the Olympic Games or is snow in Peking already one of them? #ClimateCrisis #GretaThunberg #FridaysForFuture  #precht #Lanz #zdf  https://t.co/QAKly3SSNO,3,1,error,10373
"#GlobalWarming  #FridaysForFuture #ClimateChange #Renewables #Greenwashing #ClimateStrike #ExtinctionRebellion  #ClimateAction #ClimateCrisis  

Solar + batteries = 265g CO2 kWh.
450g = soil rich with CO2 destroyed (installation) +
Toxic waste dump from panels production.",2,3,wrong-label,10487
"Old growth forests promote biodiversity and protect water systems while encouraging formation of healthy soil. 

#fridaysforfuture #oldgrowth #ancientforest #protectourforests
#saveoldgrowth #savefairycreek #forests #betterwithforests #worthmorestanding #naturalasset https://t.co/XB6EuCnuTc",1,3,wrong-label,10490
"Belvo chant, #FridaysforFuture Dublin, Week 199. @GretaThunberg https://t.co/1QkNXoY3J3",3,1,error,10550
"Instead of suggesting FIRST the replacement of fossil fuels, climate bodies have started recommending strengthening early warning. At least 🔽 video says. It is clear that climate bodies now admit that stubborn policymakers will never change.
#FridaysForFuture #India #climate https://t.co/zClyK2Z9u0",1,3,unclear,10604
"Happy Friday, friends 🌹#FridayFeeling #FridaysForFuture https://t.co/wcWm8B4tKn",3,1,wrong-label,10610
@GretaThunberg School strike week 221. #FridaysForFuture #ClimateStrike #PeopleNotProfit https://t.co/XqSg0ZwVqD,1,3,wrong-label,10621
"Will we reduce the number of cars 100 times 
Or build billions of batteries and kill with it our planet?

#Greenwashing #ClimateChange #ExtinctionRebellion #ClimateStrike #ClimateAction #GlobalWarming #FridaysForFuture",2,1,error,10623
Hashtag movement #FridaysForFuture as topic of the first presentation of Friday at #EUPRERA22 . A great start!,3,1,wrong-label,10634
"For his future - Global ClimateStrike 25 march Gothenburg @FFF_Sweden @FFF_goteborg @FFF_Stockholm @GretaThunberg ,@KlimatsamlGbg #FridaysForFuture https://t.co/TBH6L6hf1R",1,3,wrong-label,10676
@McKinsey The people should not travel....NYC needs to develop another business model...like @McKinsey.... We got a #ClimateCrisis and with all the consultancy business a bulshit crisis as well.. #FridaysForFuture,3,1,wrong-label,10688
"What can we do to fight the #ClimateCrisis  from Japan? | #TheJapanTimes #FridaysForFuture　https://t.co/dEkOtGjXtD 
#ClimateAction #ClimateEmergency #climate #ClimateStrike #ClimateJustice #environmentaljustice #environmental",1,3,wrong-label,10690
Greenpeace: RT @GretaThunberg: School strike week 179. #FridaysForFuture #ClimateStrike #UprootTheSystem https://t.co/sU2RPMiB1O,1,3,error,10719
"♻️Happy Global Recycling Day @globalrecyclingday 

🌎 Every year, the Earth yields billions of tons of natural resources and at some point, in the not too distant future, it will run out.
#ClimateCrisis #GlobalRecyclingDay #ClimateAction #FridaysForFuture #smallbusinesses https://t.co/Oe3d9QDcLG",3,1,error,10738
"The #ClimateCrisis wasn’t really on the agenda by any of the parties 😵, as @GretaThunberg mentioned in her speech at #fridaysforfuture last Friday 4/n",1,3,unclear,10778
"🌍🌿👇 Solidarity Brima....!✌️💚🌱 #Schoolstrikeforclimate Week 21: 🗣️📢🆘🔥🌊🌍🌊🔥🆘🗣️📢
#UprootTheSystem ✊🗣️📢🌍🗣️📢✊ #FridaysForFuture 🗣️📢🌿🌍🌱",1,3,wrong-label,10804
".@tree_adoptionug will join  @MinofHealthUG @min_waterUg &amp; @WHO Uganda World Health day celebrations by planting trees at the Ministry of Health Headquarters and Health Centers in and around Kampala. The trees 🌳 will absorb carbon and clean the air we breathe.
#FridaysForFuture https://t.co/G9xBeTsf3P",1,3,wrong-label,10821
"Today is global  strike day! Across the world people are uniting to strike, march &amp; protest to demand world leaders to prioritise #PeopleNotProfit !

Find more info at https://t.co/ug0sWriEgS

✊🏾💚 🌍
#FridaysForFuture #ClimateStrike",1,3,wrong-label,10856
"@GretaThunberg
https://t.co/ooC7DHTT0y
School strike week 185. #FridaysForFuture #ClimateStrike 
#PeopleNotProfit            
🌻 StandWithUkraine 🌻 https://t.co/DpRKbTThzB",1,3,wrong-label,10877
"We are losing between 24 and 150 species EVERY DAY.

The journal Science of the Total Environment published, ""Livestock production is the single largest driver of habitat loss,"" &amp; is “likely the leading cause of modern species extinctions.”

#fridaysforfuture #wildlife #GoVegan https://t.co/AAwXnv11T9",1,3,wrong-label,10926
"I liked that tweet from @nature_yoshiro:

My 86 weeks. #climatestrikeonline #fridaysforfuture #climateaction                                #ClimateEmergency #NoWar https://t.co/bu5XpnfK57

— 四白（Yoshiro） (@nature_yoshiro) Mar 18, 2022

 - Check it out https://t.co/OuLOFDc2VF",1,3,wrong-label,10932
"🌍🌿👇 Solidarity Solomon and fellow strikers below....!✌️💚🌱
#FridaysForFuture 🗣️📢✊🌍🌿
#PeopleNotProfit 🗣️📢🌍🗣️📢
#UprootTheSystem 🗣️📢✊🌍🗣️📢✊",1,3,wrong-label,10955
"How a little-discussed revision of climate science could help avert doom

https://t.co/74XshGzlWU
#FridaysForFuture
#ClimateCrisis
#ClimateStrike
#ClimateDenial
#EndFossilFuels
#Klimatalliansen
#ClimateAlliance
#ClimateTalk
#stopfossilfuel
#ClimateChange
#BeLikeWater
#SavetheBees",1,3,wrong-label,10968
"Every Friday, thanks to @vanessa_vash my time line is invaded by African brothers &amp; sisters protesting about #ClimateChange #FridaysForFuture 
Good.
Keep it up.
Thank you for your commitment.",1,2,wrong-label,10969
We need your support – Open letter by #FridaysForFuture #Rojava – Co-operation in Mesopotamia https://t.co/IEEhj0s0ve,1,3,wrong-label,10971
"FRIDAY FOR FUTURE:
JUST US WE ARE INTERESTED IN HIGH RISE BUILDINGS, THE SEA AND WATER LEVELS ARE RISING.
THINK ABOUT IT.
#FridaysForFuture #ClimateStrikeNM #PeopleNotProfit",1,3,wrong-label,11033
"#ClimateCrisis #GlobalWarming  #FridaysForFuture #ClimateChange #Renewables #Greenwashing #ClimateStrike #ExtinctionRebellion  #ClimateAction   

Solar + batteries = 265g CO2 kWh.
450g = soil rich with CO2 destroyed (installation) +
Toxic waste dump from panels production.",2,3,wrong-label,11053
"Jagannath University, World University and Kadmatoli Thana Zone joined today's  climate strike by #Brighters, Dhaka Team.
Also, we had a detailed discussion and exchange of views on upcoming projects including #BangladeshYouthCOP2022.

#FridaysForFuture #ClimateAction #climate https://t.co/8GEma4Qt3g",1,3,wrong-label,11079
"#GoodNews folks😊
Hope some savings are passed to customers that supported &amp; paid for green #electricity tariffs over recent years!🤨💚⚡️
#Sustainability #learning #energy #renewables #windpower #ClimateAction #climate #costofliving  #Health #Food #savetheplanet #FridaysForFuture",1,3,wrong-label,11121
"@GretaThunberg #FridaysForFuture had great success in drawing attention to the #ClimateEmergency but has had no impact in its resolution. We can cool the planet within twenty years, but it needs you to act, not strike. Want to know more? Please talk to me. Thank you, Rob",1,2,wrong-label,11126
But how much does it cost...to deal with all those extreme weather events that we could prevent by acting now. #ClimateAction #FridaysForFuture https://t.co/0yBghxh9Wx,1,3,wrong-label,11138
"It is also possible that the huge and concentrated tracts of farmland that provide the bulk of human food will be lost. Warmer sea water is already diminishing life in the oceans.  #FridaysForFuture
#ClimateActionNow 
#ClimateCrisis https://t.co/eYrFiAEzh9",1,3,wrong-label,11146
"#FridaysForFuture @GretaThunberg BTC mining consumes 130TWh of electricity per year (mostly coal, nuclear)! BTC mining harms climate and planet!",1,3,wrong-label,11189
#Blackouts next Winter in Germany? Very possible in 6 of 7 Szenarios. We need the lifetime extension of nuclear power plants. #Gaskrise #Gasversorgung #Laufzeitverlängerung #Atomkraft #nuclear #Habeck #HabeckRuecktritt #uranium #FridaysForFuture #GoodbyeDeutschland,3,1,error,11231
"Week 78 for climate justice.
""If you want to break the cycle of poverty, educate a girl"" Graca Machel 
#FridaysForFuture 
#ClimateActionNow https://t.co/FBBtfFYpYG",1,3,wrong-label,11252
"#WAR: Carbon Emissions,
Toxic chemicals and water contamination,
Biodiversity and Ecological balance
Noise Pollution our greatest climate threat #ClimateStrike #FridaysForFuture #ClimateEmergency #UprootTheSystem  @WorldBeyondWar",1,3,wrong-label,11260
"Humans are destroying the very air, land and water resources we need to survive. 
#ausvotes #ClimateAction #ClimateCrisis #environment #FridaysForFuture #nocoal #solarpower #StopAdani",1,3,wrong-label,11324
"International #ClimateStrike
------------
#FridaysForFuture
#WeDontHaveTime 
#Italy 
🇮🇹",1,3,wrong-label,11344
"#ClimateCrisis #GlobalWarming  #ClimateChange #FridaysForFuture #ClimateStrike #Renewables #Greenwashing #ExtinctionRebellion #ClimateAction 

Tell the truth, a Renewable future will kill us all.
Read real CO2 emissions with Data:",2,3,wrong-label,11357
"#FridaysForFuture Week 83

We don’t have much time to stop worst-case scenarios. PLEASE, join the rebellion NOW to stop all wars! #UprootTheSystem! The clock is ticking! We have less than 8 years/92 months/Or just short of 3,000 days to save all earthlings, present and future! https://t.co/BEF34KJxKU",2,1,error,11366
My week 40th #ClimateStrike  #FridaysForFuture #NoWar https://t.co/Z3Xkh26pSr,1,3,wrong-label,11372
"School strike week 204

Today we remember those that fought and those that made the ultimate sacrifice to maintain our freedoms and give us all a safe and secure future

#lestweforget2022 #peacenotwar #FridaysForFuture #PeopleNotProfit #ClimateStrike #COP27 https://t.co/FEYIL9G0fz",1,3,wrong-label,11435
"School strike week 221. #FridaysForFuture #ClimateStrike #PeopleNotProfit
We Call For... Blog - https://t.co/oRNHVJ8Hss #remembranceday2022 #COP27 #TogetherForImplementation https://t.co/BL4QJ0Moqu",1,3,wrong-label,11443
