tweet,prediction,label,class,index
This #FridaysForFuture on Zoom we will get boozy at 8pm CET (or drink soda if that's not your thing) and send some rage or wackiness to manufacturers of food items in our pantries about their packaging materials. Link information here: https://t.co/U3gdzYOcEC #peoplenotprofit,0,1,unclear,10004
"Greenpeace: RT @mnyomb1: The #IPCC report is very much clear, that a liveable planet demands a fossil-free world.

Total and ReconAfrica must take money out of oil and gas that is funding wars and Invest in forest restoration projects. 
#FridaysForFuture… https://t.co/oF1a14OE3f",0,1,wrong-label,10046
"@magdaghonem The massacre of trees in Egypt.
This is the Egyptian government's way to preserve the environment and fight the climate change.
@COP26
#ClimateCrisis
#ClimateStrike 
#Stockholm50 
#FridaysForFuture 
@UNFCCC
#stop_the_massacres_of_trees_in_Egypt https://t.co/6TEeR1GZoX",0,1,wrong-label,10072
"#FridaysForFuture - could there be two more different mindsets than a #Tory government that handicaps clean energy to support fossil fuel producers, and the young activoists around the world who inspire us to renew  outdated infrastructure for a better, more sustainable world?",0,1,wrong-label,10353
This is huge. The top climate scientist in the world basically accuses Manchin of crimes against humanity. @s_guilbeault @JustinTrudeau @GeorgeHeyman #fridaysforfuture,1,0,error,10468
"""We cannot drink oil
We cannot eat coal""
We cannot allow coal - oil - nuclear lobbies (as they ARE in key political places ) to destroy Earth.
We The People of Mother Earth
#EarthIsSacred 
#FridaysForFuture",0,1,wrong-label,10802
"Humans are destroying the very air, land and water resources we need to survive. 
#ausvotes #ClimateAction #ClimateCrisis #environment #FridaysForFuture #nocoal #solarpower #StopAdani",0,1,wrong-label,11324
"#ClimateCrisis #GlobalWarming  #ClimateChange #FridaysForFuture #ClimateStrike #Renewables #Greenwashing #ExtinctionRebellion #ClimateAction 

Tell the truth, a Renewable future will kill us all.
Read real CO2 emissions with Data:",1,0,error,11357
"#FridaysForFuture Week 83

We don’t have much time to stop worst-case scenarios. PLEASE, join the rebellion NOW to stop all wars! #UprootTheSystem! The clock is ticking! We have less than 8 years/92 months/Or just short of 3,000 days to save all earthlings, present and future! https://t.co/BEF34KJxKU",1,0,error,11366
"GretaThunberg: RT @Earth1stlinda2: It's #FridaysforFuture &amp; #FridaysforForests, &amp; again we remind our local Fed MP he has to #ActOnClimate 
There is no doubt we are living through the #ClimateCrisis, &amp; they, the Morrison Gov, act with NO #DutyofCare to o… https://t.co/c47vUZ32GO",0,1,wrong-label,11397
"#FridaysForFuture #ExtinctionRebellion 
How Naomi Klein, Josh Fox, 
George Monbiot, Ketan Joshi, and many more lie to us

Every day. On #ClimateChange &amp; #GlobalWarming!

It's #Greenwashing &amp; these people keep lying to us about real green technology emissions, #ClimateAction:",1,0,unclear,11508
The #dreadlocks has made it into German mainstream discourse thanks to #FridaysforFuture and cis-white men won’t stop dominating the discourse saying how “ridiculous” they find it instead of shutting up and listening from those whom this is about!,0,1,unclear,11744
"Remember back when Trump rolled back more than 100 #environmental rules? Now SCOTUS restricts the agency tasked with keeping us safe. Who benefits from this nonsense? 
@EPA @RogueEPAstaff  @altUSEPA  #ClimateCrisis #FridaysForFuture  

https://t.co/ruj73bHvni",0,1,wrong-label,12061
"As governments continue to abdicate their  #climate leadership, standing up is needed!

Thankyou @FFF_estonia &amp; #fridaysforfuture Finland!

#ClimateCrisis, if you can not lead, step down!

#ClimateSilence &amp; #ClimateDelay  are #ClimateDenial and crimes!

https://t.co/sxLbTaj3rC https://t.co/kGm0dodlbh",0,1,unclear,12080
"GretaThunberg: RT @NakabuyeHildaF: We cannot allow the world to continue ignoring the impacts of the #ClimateCrisis,
We demand a world where people and planet are prioritized over profit. 
#Climatestrike #UprootTheSystem 
#fridaysforfuture https://t.co/dii2A9svZa",0,1,wrong-label,12129
"Outright Lies from August Pfluger, Tax credits go specifically to green manufactures that source the raw materials from the US #sunrisemvmt #ClimateCrisis #WaterIsLife #ClimateEmergency #Globalwarming #FridaysForFuture #Youth4Climate #ActOnClimate",0,1,unclear,12143
"#ActNow @theactionnet Wet'suwet'en Solidarity Event - Kill the Drill:https://t.co/oV8YYGJpsn 
Govt + Systems Change = Planetary Survival + Citizens Assemblies = Our Only Hope #ExtinctionRebellion #greenpeace #FridaysForFuture #ecocide🔥#war🇬🇧#PCSCBill 🇨🇦#EmergenciesAct",1,0,unclear,12277
"The size of undersea creatures seemed to follow a strange but stable pattern—until industrial fishing came along.

Uh-Oh!! Humans!!

https://t.co/nzBcpBx5Zg

#Pollution
#searubbish
#WaterPollution
#SaveOurSeas
#ClimateTalk
#FridaysForFuture
#stopfossilfuel
#ClimateChange",0,1,wrong-label,12286
"What do #PutinsWar &amp; #ClimateCrisis have in common?

Both are moral failures, illegal &amp; are reduced when we reduce #FossilFuels &amp; #Oligarchs power!

Week 186 March 11

#ClimateEmergency  #StopEACOP #ecocide #Peace4Climate 

#twiff, 2, #FridaysForFuture #Sweden,, Svedmyra https://t.co/jRbd27f9Sl",0,1,unclear,12334
"We must stop adding more fossil fuels to the climate fire 🔥 
Humans are so destructive. We are destroying the very air, land and water resources we need to survive.
#fossilfools #ClimateAction #ClimateCrisis #environment #ExtinctionRebellion #FridaysForFuture #gosolar #nocoal",1,0,error,12481
"#war
We are harming #nature.🌍
We are killing #humans.🩸
Womens are being #raped.❤️‍🩹
We are killing Humanity in war.🫂
Innocent animals are killed by us.😢
Even, if there will be #nuclearwar or not result will be same.
 @BeeAsMarine 
#WarCrimes #FridaysForFuture 
@ECOWARRIORSS https://t.co/C1FVZLUTsV",1,0,error,12656
"@Faith000001 people are privileged and entitled and they will gaslight you into being the victims when you try to educate them politely about their poisoning the planet. Do not let them, call them out. #fridaysforfuture #gocarfree #istayontheground #stopecocide",1,0,unclear,12771
#green #climateactivist #luisaneubauer plans to blow up #oilpipeline #terrorism in plain sight. #FridaysForFuture talking about the next steps.,1,0,error,13046
"We need #degrowth, a #DonutEconomy and #SystemChange to #Conviviality in a #CaringEconomy of #Partnerism within #planetboundaries!
#FridaysForFuture #ClimateEmergency #ClimateJustice #ClimateActionNow #MotherEarth #LifesBetterWithTrees #actnow #BetterWithForests #CapialismKills",1,0,error,13068
"@AzzaMatar This is the Egyptian government's way to preserve the environment and fight climate change, the massacres of trees in Egypt.
@COP26 
@GretaThunberg 
#FridaysForFuture 
@UNFCCC 
@T2051MCC",0,1,wrong-label,13192
"Which #company ist the 78th largest by market cap?
Did you know that the 100 largest companies are responsible for more than 70% of #CO2 emmision worldwide?
https://t.co/V12tSzqOQR

#fridaysforfuture 

Ask them if they can change it @Shell
Royal Dutch Shell",1,0,error,13506
"#FridaysForFuture #ClimateEmergency #ClimateAction #SchoolStrike 
First we destroy nature
The rich keep getting richer
The poor are increasing in numbers
Measly check in the mail
When there’s still hell to pay
Bills and pills
Then we destroy ourselves 
Push back 
Despite all this",1,0,error,13711
"FFF = 666. Greta Thunberg, WEF &amp; build back better are fronts for satan. https://t.co/uRnK9nRKIq via @YouTube
#FridaysForFuture #GretaThunberg #WEF #BuildBackBetter #Satanism",1,0,wrong-label,13892
"CARBON MARKETS DON’T WORK, GEOENGINEERING IS A FAKE SOLUTION, GREENCAPITALISM IS GREENWASHING, COMPANIES DON’T CARE ABOUT U, BIOMASS IS AS TERRIBLE AS FOSSIL AND NUCLEAR ENERGY, LISTEN TO THE EXPERTS NOT BILLIONAIRES, JOIN THE GLOBAL CLIMATE STRIKE IN SEPTEMBER
#FridaysForFuture https://t.co/j0n5a70SVK",1,0,unclear,13901
"Even @SECNAV75 agrees that 
#ClimateCrisis is ""one of the great national security issues we face"".. then, why have our leaders continuously turned a blind eye to the crisis? Were, and are, they sleepwalking?

https://t.co/iq68KZh3M8

#FridaysForFuture
#ClimateTalk
#stopfossilfuel https://t.co/9krNKUhKO7",1,0,error,14345
"☠️ #FridaysForFuture - 100% we told to YOU YEARS 👉
Not only #WarCrimes &amp; Nuclear blackmail , 
but #ClimateCrisis #SDGs blackmail treat too!
🔥 £
#Putin ruin the World 🌍 
#StopPutin №1 Global Terrorist ! https://t.co/htljqi8YYD",1,0,wrong-label,14858
"@Derbyshirecc #Climatecrisis deniers. Unsustainable destruction of trees/biodiversity/land, for roads/car parks, supported by @NationalTrust @Clarencehouse.Object here https://t.co/a2i8VQlvnE Pls cancel NT subs #Fridaysforfuture #climatejustice #climate #science #IPCCreport #Glasgowclimatepact",1,0,unclear,14911
"While #FridaysForFuture demands that white #artists #cut their #dreads off, we are occupied with #more #important  issues, like trying not to be #DeadbyDaylgiht 

https://t.co/CcH95kkAym
@thgc_rts @promo_streams @Mighty_RTs @rtsmallstreams @BlazedRTs",1,0,wrong-label,15143
"#ClimateCrisis &amp; #Music “The X-Country STRING QUARTET, biking round the world, for both Music &amp; Planet“ auf #SoundCloud #np https://t.co/IMXa1hY0mF 

MUSIC? The one thing humans do
that makes the rest of #NATURE jealous.

#Sun2Sound #klimaatwandel #Klimakrise #FridaysForFuture ☮️",0,1,wrong-label,15240
"@Sen_JoeManchin @metronews @HoppyKercheval Total cognitive dissonance: @Sen_JoeManchin okayed Trump's MAGA anti-immigration policies, but can't seem to put it together in his head that literally **billions** of #ClimateRefugees will be searching for a survivable local environment. #FridaysForFuture
https://t.co/k94pqUujoc",0,1,error,15257
"@UN @BradSmi @SDGAdvocates @UN_News_Centre #COP27; #togetherforimplementation of UN 'Clean Development Mechanism' enabling MORE high-carbon fossilfuel plastics/biomass burning+MORE deforestation.Dirty 'bioenergy'  https://t.co/5WmA0JUdBJ
#Climateaction/same inaction
#Fridaysforfuture #generationrestoration #attackonnature",1,0,error,15323
Overspoiled kids with no culture. #ultimagenerazione #fridaysforfuture,1,0,wrong-label,15472
"Humans are so destructive. We are poisoning the air, land and water resources we need to survive.  Speak up for the future of the planet.
#ActOnClimate #AirPollution #ClimateCrisis #deforestation #environment #ESG #FridaysForFuture #stopadani #nocoal",0,1,wrong-label,15780
"The world is ablaze and the oil industry just posted record profits. It’s us or them

https://t.co/R2oQyrh4Xz

#FossilFuels
#ClimateCrisis
#FossilFuelSubsidies
#Pollution
#ChemicalPollution
#FridaysForFuture
#ClimateTalk
#stopfossilfuel
#ClimateChange
#BeLikeWater
#SavetheBees",1,0,error,15947
"#LuisaNeubauer of @Fridays4future #FridaysForFuture states a few weeks ago...

""we are planning to blow up a pipeline""

#ClimateActivists
#NordStreamSabotage
#NordStream2
#nordstreampipeline
#ClimateScam https://t.co/RqqditoMfI",1,0,wrong-label,16253
"If only allowing these people to continue their #FAKENEWS did not lead to any consequences!!

#ClimateCrisis is a fact! #Wearenotsafe! #ClimateBrawl #ClimateDenial is a crime! #uniteagainstclimatefailure #Savethebees #Fridaysforfuture https://t.co/d4WONLQf6t",1,0,unclear,16374
"Sumitomo and JICA must stop building the Matarbari coal power plant in Bangladesh!

Sign this Petition: https://t.co/td9exEZJLv

#FridaysForFuture #ClimateStrike 
#PeopleNotProfit #StopSumitomo
 #StopMatarbari https://t.co/yO0efyztxR",0,1,wrong-label,16379
"If #Nature could speak,All our leaders would be in prison. Announce #ClimateEmergency in your homes &amp; to all your friends. @UNFCCC @GretaThunberg @Fridays4future @vanessa_vash #uprootthesystem #peoplenotprofit #StopEACOP #stopadani #climatestrike #FridaysForFuture #ClimateCrisis https://t.co/Nkglv3PX0u",1,0,wrong-label,16435
"Young people in Bangladesh took to the streets demanding a halt to the planned expansion of the #Matarbari coal-fired power plant.
https://t.co/S5oo5Z3yCu #FridaysForFuture #ClimateActionNow",0,1,wrong-label,16544
"#ExtinctionRebellion #ClimateAction  #ClimateCrisis #GlobalWarming #FridaysForFuture #ClimateChange   #Renewables #Greenwashing #ClimateStrike  

Solar + batteries = 265g CO2 kWh.
450g = soil rich with CO2 destroyed (installation) +
Toxic waste dump from panels production.",0,1,wrong-label,16575
"Week 121. Finnish forestry is bad for the climate, biodiversity and people. What Finland has is a lot of plantations and hardly any natural and old-growth forests. Finland must stop harmful forestry practices and protect and restore more forests. #FridaysForFuture https://t.co/lLvdvlJGNh",0,1,wrong-label,16580
"We cannot eat coal,
…..we cannot drink oil!#FridaysForFuture 
@Riseupmovt https://t.co/FvNjHZk5cb",1,0,error,16685
“Efficient electrification can significantly reduce the need for renewable energy... such technology would bring the need for solar and wind down to … 36 times our current output.”  #ActOnClimate #FridaysForFuture https://t.co/8AzLR7NmTT,0,1,wrong-label,16745
"the struggle continues

greed 
capitalism 
&amp;
stupidity
r the main reasons
the #planet is dying 

#ActOnClimate #ClimateAction #Renewables #solar #climate #energy #GreenNewDeal #FridaysForFuture #ExtinctionRebellion https://t.co/wy22FWa7Ef",1,0,unclear,16798
"#ClimateStrike week 201

The Tory PM may change but the removal of our civil rights &amp; #AttackOnNature continue.
Join @FFF_Scotland  on Oct. 28 &amp; @ChrisGPackham  on 26 Nov. to show our leaders WE keep fighting &amp; refuse to quit until people &amp; planet are put first

#FridaysForFuture https://t.co/WY4hAeW7Ur",1,0,error,16816
